Edad;Retirado;ViajesDeNegocio;TarifaSalarial;Departamento;DistanciaDesdeCasa;Educacion;CampoEducacion;EmpleadosACargo;NumeroEmpleado;NivelSatisfaccion;Genero;SalarioPorHora;NivelInvolucramiento;NivelResponsabilidad;Rol;SatisfaccionTrabajo;EstadoCivil;SalarioMensual;TarifaMensual;NumEmpresasDondeTrabaja;MasDe18Horas;HorasExtra;PorcentajeIncrementoSalarioUltimoAnnio;NivelRendimiento;SatisfaccionEmpresa;HorasEstandar;PlanSalarioComplementario;TotalAnniosTrabajados;FormacionUltimoAnnio;BalanceTrabajoVida;FechaIngresoEmpresa;AnniosEnEmpresa;AnniosRolActual;AnniosDesdeUltimaPromocion;AnniosActualDirector
31;No;Viaja-Pocas-Veces;670;Investigacion & Desarrollo;26;1;Ciencias de la vida;1;16;1;Masculino;31;3;1;Cientifico de investigacion;3;Divorciado;2911;15170;1;S;No;17;3;4;80;1;5;1;2;9/02/2016;5;2;4;3
34;No;Viaja-Pocas-Veces;1346;Investigacion & Desarrollo;19;2;Medicina;1;18;2;Masculino;93;3;1;Tecnico de laboratorio;4;Divorciado;2661;8758;0;S;No;11;3;3;80;1;3;2;3;15/03/2019;2;2;1;2
28;Si;Viaja-Pocas-Veces;103;Investigacion & Desarrollo;24;3;Ciencias de la vida;1;19;3;Masculino;50;2;1;Tecnico de laboratorio;3;Soltero;2028;12947;5;S;Si;14;3;2;80;0;6;4;3;19/09/2017;4;2;0;3
29;No;Viaja-Pocas-Veces;1389;Investigacion & Desarrollo;21;4;Ciencias de la vida;1;20;2;Femenino;51;4;3;Director de manufactura;1;Divorciado;9980;10195;1;S;No;11;3;3;80;1;10;1;3;2/02/2011;10;9;8;8
32;No;Viaja-Pocas-Veces;334;Investigacion & Desarrollo;5;2;Ciencias de la vida;1;21;1;Masculino;80;4;1;Cientifico de investigacion;2;Divorciado;3298;15053;0;S;Si;12;3;4;80;2;7;5;2;6/04/2015;6;2;0;5
22;No;No-Viaja;1123;Investigacion & Desarrollo;16;2;Medicina;1;22;4;Masculino;96;4;1;Tecnico de laboratorio;4;Divorciado;2935;7324;1;S;Si;13;3;2;80;2;1;2;2;1/05/2020;1;0;0;0
53;No;Viaja-Pocas-Veces;1219;Ventas;2;4;Ciencias de la vida;1;23;1;Femenino;78;2;4;Director;4;Casado;15427;22021;2;S;No;16;3;3;80;0;31;3;3;7/01/1996;25;8;3;7
38;No;Viaja-Pocas-Veces;371;Investigacion & Desarrollo;2;3;Ciencias de la vida;1;24;4;Masculino;45;3;1;Cientifico de investigacion;4;Soltero;3944;4306;5;S;Si;11;3;3;80;0;6;3;3;14/11/2018;3;2;1;2
24;No;No-Viaja;673;Investigacion & Desarrollo;11;2;Otro;1;26;1;Femenino;96;4;2;Director de manufactura;3;Divorciado;4011;8232;0;S;No;18;3;4;80;1;5;5;2;8/04/2017;4;2;1;3
36;Si;Viaja-Pocas-Veces;1218;Ventas;9;4;Ciencias de la vida;1;27;3;Masculino;82;2;1;Representante de ventas;1;Soltero;3407;6986;7;S;No;23;4;2;80;0;10;4;3;15/05/2016;5;3;0;3
34;No;Viaja-Pocas-Veces;419;Investigacion & Desarrollo;7;4;Ciencias de la vida;1;28;1;Femenino;53;3;3;Director de investigacion;2;Soltero;11994;21293;0;S;No;11;3;3;80;0;13;4;3;4/01/2009;12;6;2;11
21;No;Viaja-Pocas-Veces;391;Investigacion & Desarrollo;15;2;Ciencias de la vida;1;30;3;Masculino;96;3;1;Cientifico de investigacion;4;Soltero;1232;19281;1;S;No;14;3;4;80;0;0;6;3;23/04/2021;0;0;0;0
34;Si;Viaja-Pocas-Veces;699;Investigacion & Desarrollo;6;1;Medicina;1;31;2;Masculino;83;3;1;Cientifico de investigacion;1;Soltero;2960;17102;2;S;No;11;3;3;80;0;8;2;3;21/08/2017;4;2;1;3
53;No;Viaja-Pocas-Veces;1282;Investigacion & Desarrollo;5;3;Otro;1;32;3;Femenino;58;3;5;Director;3;Divorciado;19094;10735;4;S;No;11;3;4;80;1;26;3;2;16/02/2007;14;13;4;8
32;Si;Viaja-Frecuentemente;1125;Investigacion & Desarrollo;16;1;Ciencias de la vida;1;33;2;Femenino;72;1;1;Cientifico de investigacion;1;Soltero;3919;4681;1;S;Si;22;4;2;80;0;10;5;3;3/03/2011;10;2;6;7
42;No;Viaja-Pocas-Veces;691;Ventas;8;4;Mercadeo;1;35;3;Masculino;48;3;2;Ejecutivo de ventas;2;Casado;6825;21173;0;S;No;11;3;4;80;1;10;2;3;3/09/2012;9;7;4;2
44;No;Viaja-Pocas-Veces;477;Investigacion & Desarrollo;7;4;Medicina;1;36;1;Femenino;42;2;3;Representante atencion medica;4;Casado;10248;2094;3;S;No;14;3;4;80;1;24;4;3;15/01/1999;22;6;5;17
46;No;Viaja-Pocas-Veces;705;Ventas;2;4;Mercadeo;1;38;2;Femenino;83;3;5;Director;1;Soltero;18947;22822;3;S;No;12;3;4;80;0;22;2;2;26/08/2019;2;2;2;1
33;No;Viaja-Pocas-Veces;924;Investigacion & Desarrollo;2;3;Medicina;1;39;3;Masculino;78;3;1;Tecnico de laboratorio;4;Soltero;2496;6670;4;S;No;11;3;4;80;0;7;3;3;7/11/2020;1;1;0;0
44;No;Viaja-Pocas-Veces;1459;Investigacion & Desarrollo;10;4;Otro;1;40;4;Masculino;41;3;2;Representante atencion medica;4;Casado;6465;19121;2;S;Si;13;3;4;80;0;9;5;4;18/05/2017;4;2;1;3
30;No;Viaja-Pocas-Veces;125;Investigacion & Desarrollo;9;2;Medicina;1;41;4;Masculino;83;2;1;Tecnico de laboratorio;3;Soltero;2206;16117;1;S;No;13;3;1;80;0;10;5;3;13/09/2011;10;0;1;8
39;Si;Viaja-Pocas-Veces;895;Ventas;5;3;Nivel tecnico;1;42;4;Masculino;56;3;2;Representante de ventas;4;Casado;2086;3335;3;S;No;14;3;3;80;1;19;6;4;21/10/2020;1;0;0;0
24;Si;Viaja-Pocas-Veces;813;Investigacion & Desarrollo;1;3;Medicina;1;45;2;Masculino;61;3;1;Cientifico de investigacion;4;Casado;2293;3020;2;S;Si;16;3;1;80;1;6;2;2;23/07/2019;2;0;2;0
43;No;Viaja-Pocas-Veces;1273;Investigacion & Desarrollo;2;2;Medicina;1;46;4;Femenino;72;4;1;Cientifico de investigacion;3;Divorciado;2645;21923;1;S;No;12;3;4;80;2;6;3;2;12/04/2016;5;3;1;4
50;Si;Viaja-Pocas-Veces;869;Ventas;3;2;Mercadeo;1;47;1;Masculino;86;2;1;Representante de ventas;3;Casado;2683;3810;1;S;Si;14;3;3;80;0;3;2;3;4/02/2018;3;2;0;2
35;No;Viaja-Pocas-Veces;890;Ventas;2;3;Mercadeo;1;49;4;Femenino;97;3;1;Representante de ventas;4;Casado;2014;9687;1;S;No;13;3;1;80;0;2;3;3;1/02/2019;2;2;2;2
36;No;Viaja-Pocas-Veces;852;Investigacion & Desarrollo;5;4;Ciencias de la vida;1;51;2;Femenino;82;2;1;Cientifico de investigacion;1;Casado;3419;13072;9;S;Si;14;3;4;80;1;6;3;4;4/05/2020;1;1;0;0
33;No;Viaja-Frecuentemente;1141;Ventas;1;3;Ciencias de la vida;1;52;3;Femenino;42;4;2;Ejecutivo de ventas;1;Casado;5376;3193;2;S;No;19;3;1;80;2;10;3;3;7/05/2016;5;3;1;3
35;No;Viaja-Pocas-Veces;464;Investigacion & Desarrollo;4;2;Otro;1;53;3;Masculino;75;3;1;Tecnico de laboratorio;4;Divorciado;1951;10910;1;S;No;12;3;3;80;1;1;3;3;18/10/2020;1;0;0;0
27;No;Viaja-Pocas-Veces;1240;Investigacion & Desarrollo;2;4;Ciencias de la vida;1;54;4;Femenino;33;3;1;Tecnico de laboratorio;1;Divorciado;2341;19715;1;S;No;13;3;4;80;1;1;6;3;12/06/2020;1;0;0;0
26;Si;Viaja-Pocas-Veces;1357;Investigacion & Desarrollo;25;3;Ciencias de la vida;1;55;1;Masculino;48;1;1;Tecnico de laboratorio;3;Soltero;2293;10558;1;S;No;12;3;3;80;0;1;2;2;3/04/2020;1;0;0;1
27;No;Viaja-Frecuentemente;994;Ventas;8;3;Ciencias de la vida;1;56;4;Masculino;37;3;3;Ejecutivo de ventas;3;Soltero;8726;2975;1;S;No;15;3;4;80;0;9;0;3;18/11/2012;9;8;1;7
30;No;Viaja-Frecuentemente;721;Investigacion & Desarrollo;1;2;Medicina;1;57;3;Femenino;58;3;2;Tecnico de laboratorio;4;Soltero;4011;10781;1;S;No;23;4;4;80;0;12;2;3;19/02/2009;12;8;3;7
41;Si;Viaja-Pocas-Veces;1360;Investigacion & Desarrollo;12;3;Nivel tecnico;1;58;2;Femenino;49;3;5;Director de investigacion;3;Casado;19545;16280;1;S;No;12;3;4;80;0;23;0;3;22/03/1999;22;15;15;8
34;No;No-Viaja;1065;Ventas;23;4;Mercadeo;1;60;2;Masculino;72;3;2;Ejecutivo de ventas;3;Soltero;4568;10034;0;S;No;20;4;3;80;0;10;2;3;5/07/2012;9;5;8;7
37;No;Viaja-Pocas-Veces;408;Investigacion & Desarrollo;19;2;Ciencias de la vida;1;61;2;Masculino;73;3;1;Cientifico de investigacion;2;Casado;3022;10227;4;S;No;21;4;1;80;0;8;1;3;24/03/2020;1;0;0;0
46;No;Viaja-Frecuentemente;1211;Ventas;5;4;Mercadeo;1;62;1;Masculino;98;3;2;Ejecutivo de ventas;4;Soltero;5772;20445;4;S;Si;21;4;3;80;0;14;4;3;4/01/2012;9;6;0;8
35;No;Viaja-Pocas-Veces;1229;Investigacion & Desarrollo;8;1;Ciencias de la vida;1;63;4;Masculino;36;4;1;Tecnico de laboratorio;4;Casado;2269;4892;1;S;No;19;3;4;80;0;1;2;3;20/03/2020;1;0;0;1
48;Si;Viaja-Pocas-Veces;626;Investigacion & Desarrollo;1;2;Ciencias de la vida;1;64;1;Masculino;98;2;3;Tecnico de laboratorio;3;Soltero;5381;19294;9;S;Si;13;3;4;80;0;23;2;3;26/07/2020;1;0;0;0
28;Si;Viaja-Pocas-Veces;1434;Investigacion & Desarrollo;5;4;Nivel tecnico;1;65;3;Masculino;50;3;1;Tecnico de laboratorio;3;Soltero;3441;11179;1;S;Si;13;3;3;80;0;2;3;2;5/01/2019;2;2;2;2
44;No;Viaja-Pocas-Veces;1488;Ventas;1;5;Mercadeo;1;68;2;Femenino;75;3;2;Ejecutivo de ventas;1;Divorciado;5454;4009;5;S;Si;21;4;3;80;1;9;2;2;19/01/2017;4;3;1;3
35;No;No-Viaja;1097;Investigacion & Desarrollo;11;2;Medicina;1;70;3;Masculino;79;2;3;Representante atencion medica;1;Casado;9884;8302;2;S;Si;13;3;3;80;1;10;3;3;24/03/2017;4;0;2;3
26;No;Viaja-Pocas-Veces;1443;Ventas;23;3;Mercadeo;1;72;3;Femenino;47;2;2;Ejecutivo de ventas;4;Casado;4157;21436;7;S;Si;19;3;3;80;1;5;2;2;21/05/2019;2;2;0;0
33;No;Viaja-Frecuentemente;515;Investigacion & Desarrollo;1;2;Ciencias de la vida;1;73;1;Femenino;98;3;3;Director de investigacion;4;Soltero;13458;15146;1;S;Si;12;3;3;80;0;15;1;3;17/11/2006;15;14;8;12
35;No;Viaja-Frecuentemente;853;Ventas;18;5;Ciencias de la vida;1;74;2;Masculino;71;3;3;Ejecutivo de ventas;1;Casado;9069;11031;1;S;No;22;4;4;80;1;9;3;2;21/07/2012;9;8;1;8
35;No;Viaja-Pocas-Veces;1142;Investigacion & Desarrollo;23;4;Medicina;1;75;3;Femenino;30;3;1;Tecnico de laboratorio;1;Casado;4014;16002;3;S;Si;15;3;3;80;1;4;3;3;21/06/2019;2;2;2;2
31;No;Viaja-Pocas-Veces;655;Investigacion & Desarrollo;7;4;Ciencias de la vida;1;76;4;Masculino;48;3;2;Tecnico de laboratorio;4;Divorciado;5915;9528;3;S;No;22;4;4;80;1;10;3;2;15/06/2014;7;7;1;7
37;No;Viaja-Pocas-Veces;1115;Investigacion & Desarrollo;1;4;Ciencias de la vida;1;77;1;Masculino;51;2;2;Director de manufactura;3;Divorciado;5993;2689;1;S;No;18;3;3;80;1;7;2;4;2/02/2014;7;5;0;7
32;No;Viaja-Pocas-Veces;427;Investigacion & Desarrollo;1;3;Medicina;1;78;1;Masculino;33;3;2;Director de manufactura;4;Casado;6162;10877;1;S;Si;22;4;2;80;1;9;3;3;7/01/2012;9;8;7;8
38;No;Viaja-Frecuentemente;653;Investigacion & Desarrollo;29;5;Ciencias de la vida;1;79;4;Femenino;50;3;2;Tecnico de laboratorio;4;Soltero;2406;5456;1;S;No;11;3;4;80;0;10;2;3;24/04/2011;10;3;9;9
50;No;Viaja-Pocas-Veces;989;Investigacion & Desarrollo;7;2;Medicina;1;80;2;Femenino;43;2;5;Director de investigacion;3;Divorciado;18740;16701;5;S;Si;12;3;4;80;1;29;2;2;16/05/1994;27;3;13;8
59;No;Viaja-Pocas-Veces;1435;Ventas;25;3;Ciencias de la vida;1;81;1;Femenino;99;3;3;Ejecutivo de ventas;1;Soltero;7637;2354;7;S;No;11;3;4;80;0;28;3;2;9/10/2000;21;16;7;9
36;No;Viaja-Pocas-Veces;1223;Investigacion & Desarrollo;8;3;Nivel tecnico;1;83;3;Femenino;59;3;3;Representante atencion medica;3;Divorciado;10096;8202;1;S;No;13;3;2;80;3;17;2;3;1/10/2004;17;14;12;8
55;No;Viaja-Pocas-Veces;836;Investigacion & Desarrollo;8;3;Medicina;1;84;4;Femenino;33;3;4;Director;3;Divorciado;14756;19730;2;S;Si;14;3;3;80;3;21;2;3;11/09/2016;5;0;0;2
36;No;Viaja-Frecuentemente;1195;Investigacion & Desarrollo;11;3;Ciencias de la vida;1;85;2;Masculino;95;2;2;Director de manufactura;2;Soltero;6499;22656;1;S;No;13;3;3;80;0;6;3;3;15/06/2015;6;5;0;3
45;No;Viaja-Pocas-Veces;1339;Investigacion & Desarrollo;7;3;Ciencias de la vida;1;86;2;Masculino;59;3;3;Cientifico de investigacion;1;Divorciado;9724;18787;2;S;No;17;3;3;80;1;25;2;3;20/08/2020;1;0;0;0
35;No;Viaja-Frecuentemente;664;Investigacion & Desarrollo;1;3;Medicina;1;88;2;Masculino;79;3;1;Cientifico de investigacion;1;Casado;2194;5868;4;S;No;13;3;4;80;1;5;2;2;7/02/2018;3;2;1;2
36;Si;Viaja-Pocas-Veces;318;Investigacion & Desarrollo;9;3;Medicina;1;90;4;Masculino;79;2;1;Cientifico de investigacion;3;Casado;3388;21777;0;S;Si;17;3;1;80;1;2;0;2;10/04/2020;1;0;0;0
59;No;Viaja-Frecuentemente;1225;Ventas;1;1;Ciencias de la vida;1;91;1;Femenino;57;2;2;Ejecutivo de ventas;3;Soltero;5473;24668;7;S;No;11;3;4;80;0;20;2;2;7/05/2017;4;3;1;3
29;No;Viaja-Pocas-Veces;1328;Investigacion & Desarrollo;2;3;Ciencias de la vida;1;94;3;Masculino;76;3;1;Cientifico de investigacion;2;Casado;2703;4956;0;S;No;23;4;4;80;1;6;3;3;11/03/2016;5;4;0;4
31;No;Viaja-Pocas-Veces;1082;Investigacion & Desarrollo;1;4;Medicina;1;95;3;Masculino;87;3;1;Cientifico de investigacion;2;Soltero;2501;18775;1;S;No;17;3;2;80;0;1;4;3;2/11/2020;1;1;1;0
32;No;Viaja-Pocas-Veces;548;Investigacion & Desarrollo;1;3;Ciencias de la vida;1;96;2;Masculino;66;3;2;Cientifico de investigacion;2;Casado;6220;7346;1;S;No;17;3;2;80;2;10;3;3;22/09/2011;10;4;0;9
36;No;Viaja-Pocas-Veces;132;Investigacion & Desarrollo;6;3;Ciencias de la vida;1;97;2;Femenino;55;4;1;Tecnico de laboratorio;4;Casado;3038;22002;3;S;No;12;3;2;80;0;5;3;3;19/09/2020;1;0;0;0
31;No;Viaja-Pocas-Veces;746;Investigacion & Desarrollo;8;4;Ciencias de la vida;1;98;3;Femenino;61;3;2;Director de manufactura;4;Soltero;4424;20682;1;S;No;23;4;4;80;0;11;2;3;11/02/2010;11;7;1;8
35;No;Viaja-Pocas-Veces;776;Ventas;1;4;Mercadeo;1;100;3;Masculino;32;2;2;Ejecutivo de ventas;1;Soltero;4312;23016;0;S;No;14;3;2;80;0;16;2;3;9/03/2006;15;13;2;8
45;No;Viaja-Pocas-Veces;193;Investigacion & Desarrollo;6;4;Otro;1;101;4;Masculino;52;3;3;Director de investigacion;1;Casado;13245;15067;4;S;Si;14;3;2;80;0;17;3;4;25/08/2021;0;0;0;0
37;No;Viaja-Pocas-Veces;397;Investigacion & Desarrollo;7;4;Medicina;1;102;1;Masculino;30;3;3;Director de investigacion;3;Soltero;13664;25258;4;S;No;13;3;1;80;0;16;3;4;11/02/2016;5;2;0;2
46;No;Viaja-Pocas-Veces;945;Talento Humano;5;2;Medicina;1;103;2;Masculino;80;3;2;Talento Humano;2;Divorciado;5021;10425;8;S;Si;22;4;4;80;1;16;2;3;17/02/2017;4;2;0;2
30;No;Viaja-Pocas-Veces;852;Investigacion & Desarrollo;1;1;Ciencias de la vida;1;104;4;Masculino;55;2;2;Tecnico de laboratorio;4;Casado;5126;15998;1;S;Si;12;3;3;80;2;10;1;2;8/07/2011;10;8;3;0
35;No;Viaja-Pocas-Veces;1214;Investigacion & Desarrollo;1;3;Medicina;1;105;2;Masculino;30;2;1;Cientifico de investigacion;3;Soltero;2859;26278;1;S;No;18;3;1;80;0;6;3;3;15/10/2015;6;4;0;4
55;No;Viaja-Pocas-Veces;111;Ventas;1;2;Ciencias de la vida;1;106;1;Masculino;70;3;3;Ejecutivo de ventas;4;Casado;10239;18092;3;S;No;14;3;4;80;1;24;4;3;12/02/2020;1;0;1;0
38;No;No-Viaja;573;Investigacion & Desarrollo;6;3;Medicina;1;107;2;Femenino;79;1;2;Cientifico de investigacion;4;Divorciado;5329;15717;7;S;Si;12;3;4;80;3;17;3;3;18/05/2008;13;11;1;9
34;No;Viaja-Pocas-Veces;1153;Investigacion & Desarrollo;1;2;Medicina;1;110;1;Masculino;94;3;2;Director de manufactura;2;Casado;4325;17736;1;S;No;15;3;3;80;0;5;2;3;27/09/2016;5;2;1;3
56;No;Viaja-Pocas-Veces;1400;Investigacion & Desarrollo;7;3;Ciencias de la vida;1;112;4;Masculino;49;1;3;Director de manufactura;4;Soltero;7260;21698;4;S;No;11;3;1;80;0;37;3;2;10/10/2015;6;4;0;2
23;No;Viaja-Pocas-Veces;541;Ventas;2;1;Nivel tecnico;1;113;3;Masculino;62;3;1;Representante de ventas;1;Divorciado;2322;9518;3;S;No;13;3;3;80;1;3;3;3;1/01/2021;0;0;0;0
51;No;Viaja-Pocas-Veces;432;Investigacion & Desarrollo;9;4;Ciencias de la vida;1;116;4;Masculino;96;3;1;Tecnico de laboratorio;4;Casado;2075;18725;3;S;No;23;4;2;80;2;10;4;3;10/06/2017;4;2;0;3
30;No;Viaja-Pocas-Veces;288;Investigacion & Desarrollo;2;3;Ciencias de la vida;1;117;3;Masculino;99;2;2;Representante atencion medica;4;Casado;4152;15830;1;S;No;19;3;1;80;3;11;3;3;7/04/2010;11;10;10;8
46;Si;Viaja-Pocas-Veces;669;Ventas;9;2;Medicina;1;118;3;Masculino;64;2;3;Ejecutivo de ventas;4;Soltero;9619;13596;1;S;No;16;3;4;80;0;9;3;3;1/09/2012;9;8;4;7
40;No;Viaja-Frecuentemente;530;Investigacion & Desarrollo;1;4;Ciencias de la vida;1;119;3;Masculino;78;2;4;Representante atencion medica;2;Casado;13503;14115;1;S;No;22;4;4;80;1;22;3;2;27/02/1999;22;3;11;11
51;No;Viaja-Pocas-Veces;632;Ventas;21;4;Mercadeo;1;120;3;Masculino;71;3;2;Ejecutivo de ventas;4;Soltero;5441;8423;0;S;Si;22;4;4;80;0;11;2;1;8/10/2011;10;7;1;0
30;No;Viaja-Pocas-Veces;1334;Ventas;4;2;Medicina;1;121;3;Femenino;63;2;2;Ejecutivo de ventas;2;Divorciado;5209;19760;1;S;Si;12;3;2;80;3;11;4;2;6/04/2010;11;8;2;7
46;No;Viaja-Frecuentemente;638;Investigacion & Desarrollo;1;3;Medicina;1;124;3;Masculino;40;2;3;Representante atencion medica;1;Casado;10673;3142;2;S;Si;13;3;3;80;1;21;5;2;16/11/2011;10;9;9;5
32;No;Viaja-Pocas-Veces;1093;Ventas;6;4;Medicina;1;125;2;Masculino;87;3;2;Ejecutivo de ventas;3;Soltero;5010;24301;1;S;No;16;3;1;80;0;12;0;3;26/04/2010;11;8;5;7
54;No;Viaja-Pocas-Veces;1217;Investigacion & Desarrollo;2;4;Nivel tecnico;1;126;1;Femenino;60;3;3;Director de investigacion;3;Casado;13549;24001;9;S;No;12;3;1;80;1;16;5;1;2/01/2017;4;3;0;3
24;No;Viaja-Pocas-Veces;1353;Ventas;3;2;Otro;1;128;1;Femenino;33;3;2;Ejecutivo de ventas;3;Casado;4999;17519;0;S;No;21;4;1;80;1;4;2;2;10/07/2018;3;2;0;2
28;No;No-Viaja;120;Ventas;4;3;Medicina;1;129;2;Masculino;43;3;2;Ejecutivo de ventas;3;Casado;4221;8863;1;S;No;15;3;2;80;0;5;3;4;17/10/2016;5;4;0;4
58;No;Viaja-Pocas-Veces;682;Ventas;10;4;Medicina;1;131;4;Masculino;37;3;4;Ejecutivo de ventas;3;Soltero;13872;24409;0;S;No;13;3;3;80;0;38;1;2;20/09/1984;5;10;1;8
44;No;No-Viaja;489;Investigacion & Desarrollo;23;3;Medicina;1;132;2;Masculino;67;3;2;Tecnico de laboratorio;2;Casado;2042;25043;4;S;No;12;3;3;80;1;17;3;4;16/04/2018;3;2;1;2
37;Si;Viaja-Pocas-Veces;807;Talento Humano;6;4;Talento Humano;1;133;3;Masculino;63;3;1;Talento Humano;1;Divorciado;2073;23648;4;S;Si;22;4;4;80;0;7;3;3;26/03/2018;3;2;0;2
32;No;Viaja-Pocas-Veces;827;Investigacion & Desarrollo;1;1;Ciencias de la vida;1;134;4;Masculino;71;3;1;Cientifico de investigacion;1;Soltero;2956;15178;1;S;No;13;3;4;80;0;1;2;3;15/11/2020;1;0;0;0
20;Si;Viaja-Frecuentemente;871;Investigacion & Desarrollo;6;3;Ciencias de la vida;1;137;4;Femenino;66;2;1;Tecnico de laboratorio;4;Soltero;2926;19783;1;S;Si;18;3;2;80;0;1;5;3;28/05/2020;1;0;1;0
34;No;Viaja-Pocas-Veces;665;Investigacion & Desarrollo;6;4;Otro;1;138;1;Femenino;41;3;2;Cientifico de investigacion;3;Soltero;4809;12482;1;S;No;14;3;3;80;0;16;3;3;23/05/2005;16;13;2;10
37;No;No-Viaja;1040;Investigacion & Desarrollo;2;2;Ciencias de la vida;1;139;3;Masculino;100;2;2;Representante atencion medica;4;Divorciado;5163;15850;5;S;No;14;3;4;80;1;17;2;4;18/08/2020;1;0;0;0
59;No;No-Viaja;1420;Talento Humano;2;4;Talento Humano;1;140;3;Femenino;32;2;5;Director;4;Casado;18844;21922;9;S;No;21;4;4;80;1;30;3;3;10/07/2018;3;2;2;2
50;No;Viaja-Frecuentemente;1115;Investigacion & Desarrollo;1;3;Ciencias de la vida;1;141;1;Femenino;73;3;5;Director de investigacion;2;Casado;18172;9755;3;S;Si;19;3;1;80;0;28;1;2;2/06/2013;8;3;0;7
25;Si;Viaja-Pocas-Veces;240;Ventas;5;3;Mercadeo;1;142;3;Masculino;46;2;2;Ejecutivo de ventas;3;Soltero;5744;26959;1;S;Si;11;3;4;80;0;6;1;3;16/06/2015;6;4;0;3
25;No;Viaja-Pocas-Veces;1280;Investigacion & Desarrollo;7;1;Medicina;1;143;4;Masculino;64;2;1;Cientifico de investigacion;4;Casado;2889;26897;1;S;No;11;3;3;80;2;2;2;3;23/09/2019;2;2;2;1
22;No;Viaja-Pocas-Veces;534;Investigacion & Desarrollo;15;3;Medicina;1;144;2;Femenino;59;3;1;Tecnico de laboratorio;4;Soltero;2871;23785;1;S;No;15;3;3;80;0;1;5;3;11/11/2021;0;0;0;0
